Board	Chip	Chip_Channel	Connector	Detector_Channel   
3	    10	    0		    134		8    
3       11      102     	32		110  
3       11      103     	31		109  
3       11      104     	30		112  
3       11      105     	29		111  
3       11      106     	28		114  
3       11      107     	27		113  
3       11      108     	26		116  
3       11      109     	25		115  
3       11      110     	24		118  
3       11      111     	23		117  
3       11      112     	22		120  
3       11      113     	21		119  
3       11      114     	20		122  
3       11      115     	19		121  
3       11      116     	18		124  
3       11      117     	17		123  
3       11      118     	16		126  
3       11      119     	15		125  
3       11      120     	14		128  
3       11      121     	13		127  
3       11      122     	12		130  
3       11      123     	11		129  
3       11      124     	10		132  
3       11      125     	9		131  
3       11      126     	8		134  
3       11      127     	7		133  
3       12      128     	134		8   
3       12      129     	133		7   
3       12      130     	132		10  
3       12      131     	131		9   
3       12      132     	130		12  
3       12      133     	129		11  
3       12      134     	128		14  
3       12      135     	127		13  
3       12      136     	126		16  
3       12      137     	125		15  
3       12      138     	124		18  
3       12      139     	123		17  
3       12      140     	122		20  
3       12      141     	121		19  
3       12      142     	120		22  
3       12      143     	119		21  
3       12      144     	118		24  
3       12      145     	117		23  
3       12      146     	116		26  
3       12      147     	115		25  
3       12      148     	114		28  
3       12      149     	113		27  
3       12      150     	112		30  
3       12      151     	111		29  
3       12      152     	110		32  
3       12      153     	109		31  
3       12      154     	108		34  
3       12      155     	107		33  
3       12      156     	106		36  
3       12      157     	105		35  
3       12      158     	104		38  
3       12      159     	103		37  
3       12      160     	102		40  
3       12      161     	101		39  
3       12      162     	100		42  
3       12      163     	99 		41  
3       12      164     	98 		44  
3       12      165     	97 		43  
3       12      166     	96 		46  
3       12      167     	95 		45  
3       12      168     	94 		48  
3       12      169     	93 		47  
3       12      170     	92 		50  
3       12      171     	91 		49  
3       12      172     	90 		52  
3       12      173     	89 		51  
3       12      174     	88 		54  
3       12      175     	87 		53  
3       12      176     	86 		56  
3       12      177     	85 		55  
3       12      178     	84 		58  
3       12      179     	83 		57  
3       12      180     	82 		60  
3       12      181     	81 		59  
3       12      182     	80 		62  
3       12      183     	79 		61  
3       12      184     	78 		64  
3       12      185     	77 		63  
3       12      186     	76 		66  
3       12      187     	75 		65  
3       12      188     	74 		68  
3       12      189     	73 		67  
3       12      190     	72 		70  
3       12      191     	71 		69  
3       13      192     	70 		72  
3       13      193     	69 		71  
3       13      194     	68 		74  
3       13      195     	67 		73  
3       13      196     	66 		76  
3       13      197     	65 		75  
3       13      198     	64 		78  
3       13      199     	63 		77  
3       13      200     	62 		80  
3       13      201     	61 		79  
3       13      202     	60 		82  
3       13      203     	59 		81  
3       13      204     	58 		84  
3       13      205     	57 		83  
