Board	Chip	Chip_Channel	Connector	Detector_Channel   
6	    10	    0		    134		8    
6       13      195     	67 		73  
6       13      196     	66 		76  
6       13      197     	65 		75  
6       13      198     	64 		78  
6       13      199     	63 		77  
6       13      200     	62 		80  
6       13      201     	61 		79  
6       13      202     	60 		82  
6       13      203     	59 		81  
6       13      204     	58 		84  
6       13      205     	57 		83  
6       13      206     	56 		86  
6       13      207     	55 		85  
6       13      208     	54 		88  
6       13      209     	53 		87  
6       13      210     	52 		90  
6       13      211     	51 		89  
6       13      212     	50 		92  
6       13      213     	49 		91  
6       13      214     	48 		94  
6       13      215     	47 		93  
6       13      216     	46 		96  
6       13      217     	45 		95  
6       13      218     	44 		98  
6       13      219     	43 		97  
6       13      220     	42 		100 
6       13      221     	41 		99  
6       13      222     	40 		102 
6       13      223     	39 		101 
6       13      224     	38 		104 
6       13      225     	37 		103 
6       13      226     	36 		106 
6       13      227     	35 		105 
6       13      228     	34 		108 
6       13      229     	33 		107 
6       13      230     	32 		110 
6       13      231     	31 		109 
6       13      232     	30 		112 
6       13      233     	29 		111 
6       13      234     	28 		114 
6       13      235     	27 		113 
6       13      236     	26 		116 
6       13      237     	25 		115 
6       13      238     	24 		118 
6       13      239     	23 		117 
6       13      240     	22 		120 
6       13      241     	21 		119 
6       13      242     	20 		122 
6       13      243     	19 		121 
6       13      244     	18 		124 
6       13      245     	17 		123 
6       13      246     	16 		126 
6       13      247     	15 		125 
6       13      248     	14 		128 
6       13      249     	13 		127 
6       13      250     	12 		130 
6       13      251     	11 		129 
6       13      252     	10 		132 
6       13      253     	9  		131 
6       13      254     	8  		134 
6       13      255     	7  		133 
9       10      0       	134		8  
9       10      1       	133		7  
9       10      2       	132		10 
9       10      3       	131		9  
9       10      4       	130		12 
9       10      5       	129		11 
9       10      6       	128		14 
9       10      7       	127		13 
9       10      8       	126		16 
9       10      9       	125		15 
9       10      10      	124		18 
9       10      11      	123		17 
9       10      12      	122		20 
9       10      13      	121		19 
9       10      14      	120		22 
9       10      15      	119		21 
9       10      16      	118		24 
9       10      17      	117		23 
9       10      18      	116		26 
9       10      19      	115		25 
9       10      20      	114		28 
9       10      21      	113		27 
9       10      22      	112		30 
9       10      23      	111		29 
9       10      24      	110		32 
9       10      25      	109		31 
9       10      26      	108		34 
9       10      27      	107		33 
9       10      28      	106		36 
9       10      29      	105		35 
9       10      30      	104		38 
9       10      31      	103		37 
9       10      32      	102		40 
9       10      33      	101		39 
9       10      34      	100		42 
9       10      35      	99 		41 
9       10      36      	98 		44 
9       10      37      	97 		43 
9       10      38      	96 		46 
9       10      39      	95 		45 
9       10      40      	94 		48 
9       10      41      	93 		47 
9       10      42      	92 		50 
9       10      43      	91 		49 
9       10      44      	90 		52 
9       10      45      	89 		51 
9       10      46      	88 		54 
